city,route,num_nodes,num_edges,avg_degree,median_duration,diameter,density,top_in_degree_nodes,bottom_in_degree_nodes,top_out_degree_nodes,bottom_out_degree_nodes
nantes,bus,1023,2370,2.3167155425219943,1.0,inf,0.0022668449535440255,"[('8 Mai', 9)]","[('Abel Durand', 1)]","[('Pirmil', 9)]","[('Abel Durand', 1)]"
palermo,bus,1576,2536,1.6091370558375635,0.790933575913242,100.0,0.001021674321166707,"[('PIAZZALE JOHN LENNON MONTE', 12)]","[('CASTELFORTE - CHIRONE', 1)]","[('STAZIONE CENTRALE - PENSILINA INTERNA', 7)]","[('CASTELFORTE - CHIRONE', 1)]"
paris,tram,184,356,1.934782608695652,2.0,inf,0.010572582561178427,"[('MARCHE DE SAINT-DENIS', 3)]","[('NOISY-LE-SEC RER', 1)]","[('MARCHE DE SAINT-DENIS', 3)]","[('NOISY-LE-SEC RER', 1)]"
paris,subway,302,705,2.334437086092715,1.366925064599483,34.0,0.0077556049371851005,"[('Châtelet', 8)]","[('Olympiades', 1)]","[('Châtelet', 8)]","[('Olympiades', 1)]"
paris,rail,425,1086,2.5552941176470587,2.7665403672398714,inf,0.006026637069922309,"[('PARIS SAINT-LAZARE', 10)]","[('Saint-Germain-en-Laye', 1)]","[('Bourg-la-Reine', 8)]","[('Saint-Germain-en-Laye', 1)]"
paris,bus,4738,11421,2.410510764035458,1.4496124031007753,inf,0.0005088686434527039,"[('VICTOR HUGO', 40)]","[('Funiculaire Gare basse', 1)]","[('VICTOR HUGO', 40)]","[('Funiculaire Gare basse', 1)]"
prague,tram,274,618,2.2554744525547443,1.0,inf,0.00826181118151921,"[('Otakarova', 6)]","[('Spojovací', 1)]","[('Otakarova', 6)]","[('Spojovací', 1)]"
prague,subway,61,116,1.901639344262295,1.3809969384865861,inf,0.03169398907103825,"[('Skalka', 2)]","[('Nemocnice Motol', 1)]","[('Skalka', 2)]","[('Nemocnice Motol', 1)]"
prague,bus,2198,5298,2.4103730664240217,1.9263775971093045,inf,0.001097120194093774,"[('Lihovar', 10)]","[('Nádraží Vršovice', 1)]","[('Nemocnice Krč', 11)]","[('Nádraží Vršovice', 1)]"
prague,ferry,4,4,1.0,2.0,inf,0.3333333333333333,"[('Zámky', 1)]","[('Zámky', 1)]","[('Zámky', 1)]","[('Zámky', 1)]"
rennes,subway,15,28,1.8666666666666667,1.1,14.0,0.13333333333333333,"[('Villejean-Université', 2)]","[('J.F. Kennedy', 1)]","[('Villejean-Université', 2)]","[('J.F. Kennedy', 1)]"
rennes,bus,660,1518,2.3,1.1371473354231976,54.0,0.0034901365705614566,"[('République', 10)]","[('Vincennes', 1)]","[('République', 9)]","[('Vincennes', 1)]"
rome,tram,114,191,1.6754385964912282,1.4333333333333333,56.0,0.014826890234435647,"[('P.ZA DI PORTA MAGGIORE', 3)]","[('AZUNI/MIN. MARINA', 1)]","[('MINISTERO MARINA', 4)]","[('AZUNI/MIN. MARINA', 1)]"
rome,subway,73,142,1.9452054794520548,1.6916666666666667,inf,0.027016742770167426,"[('TERMINI', 4)]","[('BATTISTINI', 1)]","[('TERMINI', 4)]","[('BATTISTINI', 1)]"
rome,rail,83,199,2.397590361445783,3.5172413793103448,inf,0.029238906846899795,"[('Lunghezza', 8)]","[('Settebagni', 1)]","[('Ciampino', 8)]","[('Settebagni', 1)]"
rome,bus,4800,9082,1.8920833333333333,0.85,inf,0.00039426616656247827,"[('TERMINI (MA-MB-FS)', 11)]","[('LUCREZIA ROMANA', 1)]","[('REPUBBLICA (MA)', 9)]","[('LUCREZIA ROMANA', 1)]"
sydney,tram,23,44,1.9130434782608696,1.5333333333333334,22.0,0.08695652173913043,"[('Fish Market Light Rail', 2)]","[('Central Station Light Rail', 1)]","[('Fish Market Light Rail', 2)]","[('Central Station Light Rail', 1)]"
sydney,rail,524,975,1.8606870229007633,2.9864864864864864,inf,0.0035577189730416126,"[('Strathfield Station, Platform 3', 12)]","[('Homebush Station, Platform 4', 1)]","[('Strathfield Station, Platform 2', 13)]","[('Homebush Station, Platform 5', 1)]"
